name,population,weight,non_zero_count,n_appeared,banz_prob,power
CA,33871648,55,2375176914.0,4999975697.0,0.2375188458841023,0.11401826222276604
TX,20851820,34,1331678903.0,4999969476.0,0.13316870326829972,0.06392606523910471
NY,18976457,31,1207114804.0,5000070526.0,0.12070977776444268,0.05794647608950902
FL,15982378,27,1043996369.0,4999890973.0,0.10440191342548301,0.050116120217669646
IL,12419293,21,805219020.0,5000027088.0,0.08052146576690707,0.038653825248959404
PA,12281054,21,805219168.0,4999918427.0,0.08052323050429638,0.03865383235356821
OH,11353140,20,766000067.0,5000048986.0,0.07659925624176675,0.036771154176796765
MI,9938444,17,649058429.0,4999992121.0,0.06490594517878841,0.031157474510388646
NJ,8414350,15,571652487.0,5000007091.0,0.05716516762835927,0.027441670883073574
GA,8186453,15,571668199.0,5000044162.0,0.05716631498423953,0.02744242512370529
NC,8049313,15,571676476.0,4999996489.0,0.057167687743150335,0.027442822453752937
VA,7078515,13,494672101.0,5000000429.0,0.049467205855713736,0.023746295694293953
MA,6349097,12,456272522.0,4999981705.0,0.04562741915072667,0.021902957944647142
IN,6080485,11,418013909.0,4999993770.0,0.04180144298459796,0.020066387142867563
WA,5894121,11,418008321.0,5000008230.0,0.041800763295943615,0.020066118895881183
TN,5689283,11,417995969.0,4999942130.0,0.041800080694133955,0.020065525949070916
MO,5595211,11,417990567.0,5000020124.0,0.041798888467833695,0.020065266630849652
WI,5363675,10,379799328.0,4999967141.0,0.037980182398162685,0.01823193005821474
MD,5296486,10,379769221.0,4999964423.0,0.03797719232291426,0.018230484798368828
AZ,5130632,10,379777853.0,5000025911.0,0.03797758849254092,0.01823089916987678
MN,4919479,10,379776711.0,4999972664.0,0.03797787873265861,0.018230844349179133
LA,4468976,9,341618126.0,4999977672.0,0.03416196515367159,0.016399075302867282
AL,4447100,9,341645010.0,4999951751.0,0.034164830683783134,0.0164003658454553
CO,4301261,9,341661726.0,5000069398.0,0.03416569839377257,0.016401168282216994
KY,4041769,8,303555353.0,5000063014.0,0.03035515274008105,0.014571905626680533
SC,4012012,8,303524098.0,5000004513.0,0.030352382403939643,0.014570405258112295
OK,3450654,7,265497319.0,5000045795.0,0.026549488733232693,0.012744963441987783
OR,3421399,7,265486102.0,4999999764.0,0.02654861145309446,0.012744424979846368
CT,3405565,7,265506479.0,5000013551.0,0.02655057594262908,0.012745403159667677
IA,2926324,7,265494907.0,5000005573.0,0.02654946110797065,0.01274484765606596
MS,2844658,6,227485213.0,4999956068.0,0.02274872117936377,0.010920225990221032
KS,2688418,6,227464734.0,4999920336.0,0.022746835820785766,0.010919242913980142
AR,2673400,6,227472020.0,4999964518.0,0.022747363424389804,0.01091959267195129
UT,2233169,5,189487276.0,4999959881.0,0.018948879642020473,0.009096168708738823
NV,1998257,5,189527724.0,5000089794.0,0.018952432037063534,0.009098110379122702
NM,1819046,5,189503703.0,5000089666.0,0.01895003046531366,0.009096957272311705
WV,1808344,5,189514983.0,4999948192.0,0.01895169466987949,0.009097498758712273
NE,1711263,5,189506558.0,4999983373.0,0.01895071881872036,0.00909709432405582
ID,1293953,4,151577321.0,5000016558.0,0.015157681903820608,0.007276334925172812
ME,1274923,4,151556808.0,5000019370.0,0.015155622087120034,0.007275350216792063
NH,1235786,4,151569439.0,4999995514.0,0.015156957498822269,0.007275956556750004
HI,1211537,4,151566126.0,4999952922.0,0.015156755309945296,0.007275797519121894
RI,1048319,4,151558352.0,5000016710.0,0.015155784549368036,0.007275424335143347
MT,902195,3,113661027.0,4999982957.0,0.01136614144262972,0.005456196843531163
DE,783600,3,113662054.0,4999947317.0,0.011366325162421706,0.005456246143755754
SD,754844,3,113647814.0,5000040740.0,0.011364688800515653,0.0054555625651791515
ND,642200,3,113656508.0,4999973265.0,0.011365711572459778,0.005455979912942142
AK,626932,3,113655229.0,4999934833.0,0.011365671033336846,0.005455918515680943
VT,608827,3,113650187.0,4999997530.0,0.01136502431432201,0.005455676478940547
DC,572059,3,113650978.0,4999988862.0,0.011365123116948256,0.005455714450194346
WY,493782,3,113647590.0,5000024637.0,0.01136470300156243,0.0054555518122577215
